id;player;Market value
0;Kylian Mbappé;€180.00m
1;Raheem Sterling;€128.00m
2;Neymar;€128.00m
3;Sadio Mané;€120.00m
4;Mohamed Salah;€120.00m
5;Harry Kane;€120.00m
6;Kevin De Bruyne;€120.00m
7;Jadon Sancho;€117.00m
8;Lionel Messi;€112.00m
9;Trent Alexander-Arnold;€99.00m
10;Antoine Griezmann;€96.00m
11;João Félix;€81.00m
12;Kai Havertz;€81.00m
13;Bernardo Silva;€80.00m
14;N'Golo Kanté;€80.00m
15;Leroy Sané;€80.00m
16;Virgil van Dijk;€80.00m
17;Paul Pogba;€80.00m
18;Jan Oblak;€80.00m
19;Eden Hazard;€80.00m
20;Joshua Kimmich;€75.00m
21;Erling Haaland;€72.00m
22;Frenkie de Jong;€72.00m
23;Paulo Dybala;€72.00m
24;Serge Gnabry;€72.00m
25;Saúl Ñíguez;€72.00m
26;Roberto Firmino;€72.00m
27;Alisson;€72.00m
28;Marc-André ter Stegen;€72.00m
29;Romelu Lukaku;€68.00m
30;Christian Eriksen;€68.00m
31;Matthijs de Ligt;€67.50m
32;David Alaba;€65.00m
33;Lautaro Martínez;€64.00m
34;Rodri;€64.00m
35;Sergej Milinkovic-Savic;€64.00m
36;Marcus Rashford;€64.00m
37;Andrew Robertson;€64.00m
38;Dele Alli;€64.00m
39;Timo Werner;€64.00m
40;Raphaël Varane;€64.00m
41;Heung-min Son;€64.00m
42;Casemiro;€64.00m
43;Alphonso Davies;€60.00m
44;Aymeric Laporte;€60.00m
45;Marco Verratti;€60.00m
46;Mauro Icardi;€60.00m
47;Cristiano Ronaldo;€60.00m
48;Gabriel Jesus;€56.00m
49;Arthur;€56.00m
50;Ousmane Dembélé;€56.00m
51;Lucas Hernández;€56.00m
52;José Giménez;€56.00m
53;Ederson;€56.00m
54;Fabinho;€56.00m
55;Harry Maguire;€56.00m
56;Kalidou Koulibaly;€56.00m
57;Philippe Coutinho;€56.00m
58;Pierre-Emerick Aubameyang;€56.00m
59;Robert Lewandowski;€56.00m
60;Achraf Hakimi;€54.00m
61;Federico Valverde;€54.00m
62;Christian Pulisic;€54.00m
63;Tanguy Ndombélé;€52.00m
64;Richarlison;€52.00m
65;Nicolas Pépé;€52.00m
66;Marquinhos;€52.00m
67;Jorginho;€52.00m
68;Miralem Pjanic;€52.00m
69;Sergio Agüero;€52.00m
70;Leon Goretzka;€50.00m
71;Houssem Aouar;€49.50m
72;Declan Rice;€49.50m
73;Gianluigi Donnarumma;€49.50m
74;Mikel Oyarzabal;€48.00m
75;Fabián Ruiz;€48.00m
76;Davinson Sánchez;€48.00m
77;Federico Chiesa;€48.00m
78;James Maddison;€48.00m
79;Bruno Fernandes;€48.00m
80;Milan Skriniar;€48.00m
81;Clément Lenglet;€48.00m
82;Anthony Martial;€48.00m
83;Riyad Mahrez;€48.00m
84;Niklas Süle;€48.00m
85;Marcelo Brozovic;€48.00m
86;Lorenzo Insigne;€48.00m
87;Stefan de Vrij;€48.00m
88;Thibaut Courtois;€48.00m
89;Alexandre Lacazette;€48.00m
90;Koke;€48.00m
91;Thiago;€48.00m
92;Toni Kroos;€48.00m
93;Rodrygo;€45.00m
94;Ferran Torres;€45.00m
95;Nicolò Zaniolo;€45.00m
96;Vinícius Júnior;€45.00m
97;Dayot Upamecano;€45.00m
98;Martin Ödegaard;€45.00m
99;Donny van de Beek;€44.00m
