Rk,player,Pos,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,current_club_name,market_value_in_eur,highest_market_value_in_eur
1,Brenden Aaronson,MFFW,22-203,2000,33,28,2307,25.6,1,3,4,1,0,0,2,0,3.7,3.7,4.2,7.9,43.0,84.0,147.0,0.04,0.12,0.16,0.04,0.16,0.14,0.17,0.31,0.14,0.31,Leeds United,30000000.0,30000000.0
2,Paxten Aaronson,MFDF,19-260,2003,5,0,135,1.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,6.0,6.0,10.0,0.0,0.0,0.0,0.0,0.0,0.11,0.03,0.14,0.11,0.14,Eintracht Frankfurt,4500000.0,4500000.0
3,James Abankwah,DF,19-117,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Udinese Calcio,200000.0,200000.0
4,Yunis Abdelhamid,DF,35-227,1987,35,35,3150,35.0,1,1,2,1,0,0,5,0,2.3,2.3,1.0,3.3,36.0,203.0,9.0,0.03,0.03,0.06,0.03,0.06,0.07,0.03,0.09,0.07,0.09,Stade Reims,800000.0,2500000.0
5,Himad Abdelli,MFFW,23-177,1999,26,20,1783,19.8,0,1,1,0,0,0,3,0,1.2,1.2,2.3,3.5,51.0,126.0,95.0,0.0,0.05,0.05,0.0,0.05,0.06,0.12,0.18,0.06,0.18,Sco Angers,1200000.0,1800000.0
6,Salis Abdul Samed,MF,23-048,2000,30,30,2624,29.2,1,1,2,1,0,0,5,1,0.9,0.9,1.5,2.5,29.0,146.0,39.0,0.03,0.03,0.07,0.03,0.07,0.03,0.05,0.08,0.03,0.08,Rc Lens,13000000.0,13000000.0
7,Laurent Abergel,MF,30-101,1993,25,24,1989,22.1,0,1,1,0,0,0,6,1,0.4,0.4,1.2,1.6,10.0,108.0,11.0,0.0,0.05,0.05,0.0,0.05,0.02,0.05,0.07,0.02,0.07,Fc Lorient,3000000.0,3000000.0
8,Oliver Abildgaard,MF,26-337,1996,9,5,467,5.2,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,1.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.1,0.02,0.1,Hellas Verona,5000000.0,7500000.0
9,Matthis Abline,FW,20-046,2003,16,8,750,8.3,2,1,3,1,1,2,0,0,3.0,1.5,0.7,2.2,12.0,8.0,42.0,0.24,0.12,0.36,0.12,0.24,0.37,0.08,0.45,0.18,0.26,Aj Auxerre,4000000.0,4000000.0
10,Matthis Abline,FWMF,20-046,2003,11,0,107,1.2,1,0,1,1,0,0,0,0,0.8,0.8,0.3,1.0,4.0,2.0,11.0,0.84,0.0,0.84,0.84,0.84,0.65,0.22,0.87,0.65,0.87,Aj Auxerre,4000000.0,4000000.0
