,,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
1,Brenden Aaronson,us USA,MFFW,Leeds United,eng Premier League,22-203,2000,33,28,2307,25.6,1,3,4,1,0,0,2,0,3.7,3.7,4.2,7.9,43,84,147,0.04,0.12,0.16,0.04,0.16,0.14,0.17,0.31,0.14,0.31,Matches,5bc43860
2,Paxten Aaronson,us USA,MFDF,Eint Frankfurt,de Bundesliga,19-260,2003,5,0,135,1.5,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,6,6,10,0.00,0.00,0.00,0.00,0.00,0.11,0.03,0.14,0.11,0.14,Matches,4cd41883
3,James Abankwah,ie IRL,DF,Udinese,it Serie A,19-117,2004,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,4b7a9fcc
4,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,35-227,1987,35,35,3150,35.0,1,1,2,1,0,0,5,0,2.3,2.3,1.0,3.3,36,203,9,0.03,0.03,0.06,0.03,0.06,0.07,0.03,0.09,0.07,0.09,Matches,32c2d95f
5,Himad Abdelli,fr FRA,MFFW,Angers,fr Ligue 1,23-177,1999,26,20,1783,19.8,0,1,1,0,0,0,3,0,1.2,1.2,2.3,3.5,51,126,95,0.00,0.05,0.05,0.00,0.05,0.06,0.12,0.18,0.06,0.18,Matches,7978cbf0
6,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,23-048,2000,30,30,2624,29.2,1,1,2,1,0,0,5,1,0.9,0.9,1.5,2.5,29,146,39,0.03,0.03,0.07,0.03,0.07,0.03,0.05,0.08,0.03,0.08,Matches,82464ce3
7,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,30-101,1993,25,24,1989,22.1,0,1,1,0,0,0,6,1,0.4,0.4,1.2,1.6,10,108,11,0.00,0.05,0.05,0.00,0.05,0.02,0.05,0.07,0.02,0.07,Matches,31626657
8,Oliver Abildgaard,dk DEN,MF,Hellas Verona,it Serie A,26-337,1996,9,5,467,5.2,0,0,0,0,0,0,1,0,0.1,0.1,0.4,0.5,1,11,7,0.00,0.00,0.00,0.00,0.00,0.02,0.07,0.10,0.02,0.10,Matches,8f5cdf66
9,Matthis Abline,fr FRA,FW,Auxerre,fr Ligue 1,20-046,2003,16,8,750,8.3,2,1,3,1,1,2,0,0,3.0,1.5,0.7,2.2,12,8,42,0.24,0.12,0.36,0.12,0.24,0.37,0.08,0.45,0.18,0.26,Matches,0e46fa2f
10,Matthis Abline,fr FRA,FWMF,Rennes,fr Ligue 1,20-046,2003,11,0,107,1.2,1,0,1,1,0,0,0,0,0.8,0.8,0.3,1.0,4,2,11,0.84,0.00,0.84,0.84,0.84,0.65,0.22,0.87,0.65,0.87,Matches,0e46fa2f
11,Abner,br BRA,DF,Betis,es La Liga,22-351,2000,11,5,438,4.9,0,0,0,0,0,0,2,0,1.7,1.7,0.1,1.8,5,12,16,0.00,0.00,0.00,0.00,0.00,0.35,0.03,0.37,0.35,0.37,Matches,7f9c5d2d
12,Zakaria Aboukhlal,ma MAR,FWMF,Toulouse,fr Ligue 1,23-084,2000,34,27,2325,25.8,8,5,13,8,0,0,4,0,10.1,10.1,3.1,13.2,93,64,256,0.31,0.19,0.50,0.31,0.50,0.39,0.12,0.51,0.39,0.51,Matches,c2a6033c
