Rk,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.1,Ast.1,G+A.1,G-PK.1,G+A-PK,xG.1,xAG.1,xG+xAG,npxG.1,npxG+xAG.1,highest_market_value_in_eur,Pos_FW,Pos_FWMF,Pos_MF,Pos_MFFW,market_value_in_eur
1.0,2000.0,33.0,28.0,2307.0,25.6,1.0,3.0,4.0,1.0,0.0,0.0,2.0,0.0,3.7,3.7,4.2,7.9,0.3006993006993007,0.28668941979522183,0.4772727272727273,0.04,0.12,0.16,0.04,0.16,0.14,0.17,0.31,0.14,0.31,30000000.0,0.0,0.0,0.0,1.0,30000000.0
5.0,1999.0,26.0,20.0,1783.0,19.8,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.2,1.2,2.3,3.5,0.35664335664335667,0.4300341296928328,0.30844155844155846,0.0,0.05,0.05,0.0,0.05,0.06,0.12,0.18,0.06,0.18,1800000.0,0.0,0.0,0.0,1.0,1200000.0
6.0,2000.0,30.0,30.0,2624.0,29.2,1.0,1.0,2.0,1.0,0.0,0.0,5.0,1.0,0.9,0.9,1.5,2.5,0.20279720279720279,0.4982935153583618,0.12662337662337664,0.03,0.03,0.07,0.03,0.07,0.03,0.05,0.08,0.03,0.08,13000000.0,0.0,0.0,1.0,0.0,13000000.0
7.0,1993.0,25.0,24.0,1989.0,22.1,0.0,1.0,1.0,0.0,0.0,0.0,6.0,1.0,0.4,0.4,1.2,1.6,0.06993006993006994,0.36860068259385664,0.03571428571428572,0.0,0.05,0.05,0.0,0.05,0.02,0.05,0.07,0.02,0.07,3000000.0,0.0,0.0,1.0,0.0,3000000.0
8.0,1996.0,9.0,5.0,467.0,5.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.4,0.5,0.006993006993006993,0.03754266211604096,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.02,0.07,0.1,0.02,0.1,7500000.0,0.0,0.0,1.0,0.0,5000000.0
9.0,2003.0,16.0,8.0,750.0,8.3,2.0,1.0,3.0,1.0,1.0,2.0,0.0,0.0,3.0,1.5,0.7,2.2,0.08391608391608392,0.027303754266211604,0.13636363636363638,0.24,0.12,0.36,0.12,0.24,0.37,0.08,0.45,0.18,0.26,4000000.0,1.0,0.0,0.0,0.0,4000000.0
10.0,2003.0,11.0,0.0,107.0,1.2,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.8,0.8,0.3,1.0,0.027972027972027972,0.006825938566552901,0.03571428571428572,0.84,0.0,0.84,0.84,0.84,0.65,0.22,0.87,0.65,0.87,4000000.0,0.0,1.0,0.0,0.0,4000000.0
12.0,2000.0,34.0,27.0,2325.0,25.8,8.0,5.0,13.0,8.0,0.0,0.0,4.0,0.0,10.1,10.1,3.1,13.2,0.6503496503496503,0.21843003412969283,0.8311688311688312,0.31,0.19,0.5,0.31,0.5,0.39,0.12,0.51,0.39,0.51,7000000.0,0.0,1.0,0.0,0.0,7000000.0
13.0,1997.0,34.0,24.0,2100.0,23.3,8.0,3.0,11.0,8.0,0.0,0.0,2.0,0.0,10.3,10.3,3.3,13.6,0.24475524475524477,0.17406143344709898,0.4253246753246753,0.34,0.13,0.47,0.34,0.47,0.44,0.14,0.58,0.44,0.58,50000000.0,1.0,0.0,0.0,0.0,45000000.0
14.0,2002.0,1.0,0.0,15.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150000.0,0.0,0.0,1.0,0.0,150000.0
17.0,2002.0,2.0,0.0,36.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.2,0.013986013986013986,0.010238907849829351,0.003246753246753247,0.0,0.0,0.0,0.0,0.0,0.3,0.08,0.39,0.3,0.39,400000.0,1.0,0.0,0.0,0.0,400000.0
20.0,1999.0,24.0,24.0,2156.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.1,0.1,1.4,1.5,0.13286713286713286,0.4641638225255973,0.06493506493506494,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.0,0.06,20000000.0,0.0,1.0,0.0,0.0,20000000.0
21.0,1993.0,24.0,4.0,644.0,7.2,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,3.4,3.4,0.8,4.1,0.08391608391608392,0.08191126279863481,0.18831168831168832,0.14,0.28,0.42,0.14,0.42,0.47,0.11,0.58,0.47,0.58,5000000.0,0.0,0.0,0.0,1.0,2000000.0
23.0,2003.0,5.0,0.0,107.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.1,0.1,0.0,0.1,0.006993006993006993,0.010238907849829351,0.003246753246753247,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.06,0.06,0.06,800000.0,0.0,1.0,0.0,0.0,800000.0
24.0,2002.0,21.0,17.0,1186.0,13.2,6.0,5.0,11.0,6.0,0.0,1.0,8.0,0.0,4.8,4.0,3.6,7.6,0.2937062937062937,0.15358361774744028,0.38311688311688313,0.46,0.38,0.83,0.46,0.83,0.36,0.27,0.64,0.3,0.58,35000000.0,0.0,1.0,0.0,0.0,35000000.0
25.0,2000.0,23.0,13.0,1276.0,14.2,4.0,3.0,7.0,4.0,0.0,0.0,2.0,1.0,4.4,4.4,1.6,6.0,0.2937062937062937,0.16723549488054607,0.3928571428571429,0.28,0.21,0.49,0.28,0.49,0.31,0.11,0.43,0.31,0.43,15000000.0,0.0,0.0,0.0,1.0,15000000.0
26.0,2000.0,5.0,1.0,124.0,1.4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.1,0.1,0.2,0.03496503496503497,0.030716723549488054,0.022727272727272728,0.0,0.0,0.0,0.0,0.0,0.06,0.07,0.13,0.06,0.13,9000000.0,0.0,1.0,0.0,0.0,9000000.0
27.0,1997.0,29.0,16.0,1361.0,15.1,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.3,1.3,0.6,1.8,0.08391608391608392,0.12286689419795221,0.25,0.07,0.0,0.07,0.07,0.07,0.08,0.04,0.12,0.08,0.12,5500000.0,0.0,1.0,0.0,0.0,3500000.0
28.0,2003.0,21.0,6.0,757.0,8.4,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.8,1.8,0.1,2.0,0.13986013986013987,0.027303754266211604,0.17532467532467533,0.0,0.0,0.0,0.0,0.0,0.22,0.02,0.23,0.22,0.23,6000000.0,0.0,0.0,1.0,0.0,5500000.0
33.0,1996.0,30.0,15.0,1599.0,17.8,1.0,2.0,3.0,1.0,0.0,0.0,3.0,0.0,0.8,0.8,1.8,2.6,0.17482517482517482,0.3993174061433447,0.13636363636363638,0.06,0.11,0.17,0.06,0.17,0.04,0.1,0.15,0.04,0.15,3000000.0,0.0,0.0,0.0,1.0,3000000.0
34.0,1998.0,32.0,23.0,2059.0,22.9,0.0,1.0,1.0,0.0,0.0,0.0,5.0,0.0,1.4,1.4,2.9,4.3,0.5454545454545454,0.36177474402730375,0.31493506493506496,0.0,0.04,0.04,0.0,0.04,0.06,0.13,0.19,0.06,0.19,3500000.0,0.0,0.0,1.0,0.0,3500000.0
37.0,2002.0,7.0,0.0,93.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.2,0.1,0.2,0.006993006993006993,0.006825938566552901,0.03571428571428572,0.0,0.0,0.0,0.0,0.0,0.15,0.07,0.22,0.15,0.22,10000000.0,0.0,0.0,1.0,0.0,10000000.0
38.0,2002.0,17.0,17.0,1398.0,15.5,2.0,2.0,4.0,2.0,0.0,0.0,4.0,1.0,0.8,0.8,1.2,2.1,0.3006993006993007,0.19112627986348124,0.17532467532467533,0.13,0.13,0.26,0.13,0.26,0.05,0.08,0.13,0.05,0.13,10000000.0,1.0,0.0,0.0,0.0,10000000.0
40.0,1994.0,28.0,16.0,1287.0,14.3,3.0,1.0,4.0,3.0,0.0,0.0,4.0,1.0,1.1,1.1,0.9,2.1,0.17482517482517482,0.16382252559726962,0.12012987012987014,0.21,0.07,0.28,0.21,0.28,0.08,0.07,0.14,0.08,0.14,10000000.0,0.0,0.0,0.0,1.0,3000000.0
46.0,1994.0,13.0,9.0,771.0,8.6,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,3.4,2.6,0.9,3.5,0.013986013986013986,0.04436860068259386,0.17857142857142858,0.12,0.0,0.12,0.0,0.0,0.39,0.1,0.5,0.3,0.4,16000000.0,0.0,0.0,1.0,0.0,9000000.0
47.0,1994.0,15.0,14.0,1112.0,12.4,6.0,1.0,7.0,6.0,0.0,0.0,4.0,0.0,4.4,4.4,1.7,6.1,0.027972027972027972,0.09556313993174062,0.262987012987013,0.49,0.08,0.57,0.49,0.57,0.36,0.14,0.5,0.36,0.5,16000000.0,0.0,1.0,0.0,0.0,9000000.0
51.0,2002.0,8.0,4.0,308.0,3.4,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.2,0.2,0.3,0.5,0.04195804195804196,0.04436860068259386,0.08441558441558442,0.0,0.0,0.0,0.0,0.0,0.05,0.08,0.14,0.05,0.14,6000000.0,0.0,0.0,1.0,0.0,6000000.0
57.0,1999.0,4.0,2.0,223.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.1,0.1,0.013986013986013986,0.030716723549488054,0.01948051948051948,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.04,0.01,0.04,3000000.0,0.0,0.0,0.0,1.0,3000000.0
58.0,1992.0,20.0,2.0,331.0,3.7,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.4,1.4,0.0,1.5,0.013986013986013986,0.027303754266211604,0.0551948051948052,0.27,0.0,0.27,0.27,0.27,0.39,0.01,0.4,0.39,0.4,20000000.0,0.0,0.0,1.0,0.0,4000000.0
