Rk;player;Pos;Age;Born;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;Gls;Ast;G+A;G-PK;G+A-PK;xG;xAG;xG+xAG;npxG;npxG+xAG
1;Brenden Aaronson;MFFW;22-203;2000;33;28;2307;25.6;1;3;4;1;0;0;2;0;3.7;3.7;4.2;7.9;43;84;147;0.04;0.12;0.16;0.04;0.16;0.14;0.17;0.31;0.14;0.31
2;Paxten Aaronson;MFDF;19-260;2003;5;0;135;1.5;0;0;0;0;0;0;0;0;0.2;0.2;0.0;0.2;6;6;10;0.00;0.00;0.00;0.00;0.00;0.11;0.03;0.14;0.11;0.14
3;James Abankwah;DF;19-117;2004;1;0;5;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
4;Yunis Abdelhamid;DF;35-227;1987;35;35;3150;35.0;1;1;2;1;0;0;5;0;2.3;2.3;1.0;3.3;36;203;9;0.03;0.03;0.06;0.03;0.06;0.07;0.03;0.09;0.07;0.09
5;Himad Abdelli;MFFW;23-177;1999;26;20;1783;19.8;0;1;1;0;0;0;3;0;1.2;1.2;2.3;3.5;51;126;95;0.00;0.05;0.05;0.00;0.05;0.06;0.12;0.18;0.06;0.18
6;Salis Abdul Samed;MF;23-048;2000;30;30;2624;29.2;1;1;2;1;0;0;5;1;0.9;0.9;1.5;2.5;29;146;39;0.03;0.03;0.07;0.03;0.07;0.03;0.05;0.08;0.03;0.08
7;Laurent Abergel;MF;30-101;1993;25;24;1989;22.1;0;1;1;0;0;0;6;1;0.4;0.4;1.2;1.6;10;108;11;0.00;0.05;0.05;0.00;0.05;0.02;0.05;0.07;0.02;0.07
8;Oliver Abildgaard;MF;26-337;1996;9;5;467;5.2;0;0;0;0;0;0;1;0;0.1;0.1;0.4;0.5;1;11;7;0.00;0.00;0.00;0.00;0.00;0.02;0.07;0.10;0.02;0.10
9;Matthis Abline;FW;20-046;2003;16;8;750;8.3;2;1;3;1;1;2;0;0;3.0;1.5;0.7;2.2;12;8;42;0.24;0.12;0.36;0.12;0.24;0.37;0.08;0.45;0.18;0.26
10;Matthis Abline;FWMF;20-046;2003;11;0;107;1.2;1;0;1;1;0;0;0;0;0.8;0.8;0.3;1.0;4;2;11;0.84;0.00;0.84;0.84;0.84;0.65;0.22;0.87;0.65;0.87
11;Abner;DF;22-351;2000;11;5;438;4.9;0;0;0;0;0;0;2;0;1.7;1.7;0.1;1.8;5;12;16;0.00;0.00;0.00;0.00;0.00;0.35;0.03;0.37;0.35;0.37
12;Zakaria Aboukhlal;FWMF;23-084;2000;34;27;2325;25.8;8;5;13;8;0;0;4;0;10.1;10.1;3.1;13.2;93;64;256;0.31;0.19;0.50;0.31;0.50;0.39;0.12;0.51;0.39;0.51
13;Tammy Abraham;FW;25-223;1997;34;24;2100;23.3;8;3;11;8;0;0;2;0;10.3;10.3;3.3;13.6;35;51;131;0.34;0.13;0.47;0.34;0.47;0.44;0.14;0.58;0.44;0.58
14;Christian Acella;MF;20-310;2002;1;0;15;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
15;Francesco Acerbi;DF;35-092;1988;27;23;2185;24.3;0;2;2;0;0;0;4;0;0.8;0.8;1.0;1.9;38;100;30;0.00;0.08;0.08;0.00;0.08;0.03;0.04;0.08;0.03;0.08
16;Álvaro Aceves;GK;19-291;2003;1;0;13;0.1;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
17;Mohamed Achi;FW;21-117;2002;2;0;36;0.4;0;0;0;0;0;0;0;0;0.1;0.1;0.0;0.2;2;3;1;0.00;0.00;0.00;0.00;0.00;0.30;0.08;0.39;0.30;0.39
18;Marcos Acuña;DF;31-197;1991;26;19;1720;19.1;3;2;5;3;0;0;10;2;1.1;1.1;3.9;5.0;42;97;85;0.16;0.10;0.26;0.16;0.26;0.06;0.20;0.26;0.06;0.26
19;Che Adams;FW;26-304;1996;28;23;1992;22.1;5;3;8;5;0;0;1;0;6.6;6.6;2.8;9.4;17;34;115;0.23;0.14;0.36;0.23;0.36;0.30;0.13;0.42;0.30;0.42
20;Tyler Adams;MF;24-088;1999;24;24;2156;24.0;0;0;0;0;0;0;6;1;0.1;0.1;1.4;1.5;19;136;20;0.00;0.00;0.00;0.00;0.00;0.00;0.06;0.06;0.00;0.06
21;Sargis Adamyan;FWMF;29-355;1993;24;4;644;7.2;1;2;3;1;0;0;3;0;3.4;3.4;0.8;4.1;12;24;58;0.14;0.28;0.42;0.14;0.42;0.47;0.11;0.58;0.47;0.58
22;Tosin Adarabioyo;DF;25-231;1997;22;20;1815;20.2;1;0;1;1;0;0;3;0;0.6;0.6;0.4;1.0;16;83;3;0.05;0.00;0.05;0.05;0.05;0.03;0.02;0.05;0.03;0.05
23;Martin Adeline;MFFW;19-162;2003;5;0;107;1.2;0;0;0;0;0;0;2;0;0.1;0.1;0.0;0.1;1;3;1;0.00;0.00;0.00;0.00;0.00;0.06;0.00;0.06;0.06;0.06
24;Karim Adeyemi;FWMF;21-115;2002;21;17;1186;13.2;6;5;11;6;0;1;8;0;4.8;4.0;3.6;7.6;42;45;118;0.46;0.38;0.83;0.46;0.83;0.36;0.27;0.64;0.30;0.58
25;Amine Adli;FWMF;23-003;2000;23;13;1276;14.2;4;3;7;4;0;0;2;1;4.4;4.4;1.6;6.0;42;49;121;0.28;0.21;0.49;0.28;0.49;0.31;0.11;0.43;0.31;0.43
26;Yacine Adli;MFFW;22-288;2000;5;1;124;1.4;0;0;0;0;0;0;1;0;0.1;0.1;0.1;0.2;5;9;7;0.00;0.00;0.00;0.00;0.00;0.06;0.07;0.13;0.06;0.13
27;Michel Aebischer;FWMF;26-127;1997;29;16;1361;15.1;1;0;1;1;0;0;3;0;1.3;1.3;0.6;1.8;12;36;77;0.07;0.00;0.07;0.07;0.07;0.08;0.04;0.12;0.08;0.12
28;Felix Afena-Gyan;FWMF;20-114;2003;21;6;757;8.4;0;0;0;0;0;0;4;0;1.8;1.8;0.1;2.0;20;8;54;0.00;0.00;0.00;0.00;0.00;0.22;0.02;0.23;0.22;0.23
29;Emmanuel Agbadou;DF;25-330;1997;27;25;2245;24.9;0;2;2;0;0;0;5;2;1.7;1.7;2.2;3.9;15;124;7;0.00;0.08;0.08;0.00;0.08;0.07;0.09;0.16;0.07;0.16
30;Julen Agirrezabala;GK;22-138;2000;7;6;585;6.5;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;0;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
31;Lucien Agoume;MF;21-093;2002;15;14;1094;12.2;0;1;1;0;0;0;5;0;0.8;0.8;1.1;1.9;9;93;10;0.00;0.08;0.08;0.00;0.08;0.07;0.09;0.16;0.07;0.16
32;Felix Agu;DFFW;23-228;1999;3;0;49;0.5;0;0;0;0;0;0;0;0;0.0;0.0;0.1;0.1;0;2;2;0.00;0.00;0.00;0.00;0.00;0.07;0.14;0.22;0.07;0.22
33;Álvaro Aguado;MF;27-012;1996;30;15;1599;17.8;1;2;3;1;0;0;3;0;0.8;0.8;1.8;2.6;25;117;42;0.06;0.11;0.17;0.06;0.17;0.04;0.10;0.15;0.04;0.15
34;Kevin Agudelo;MFFW;24-180;1998;32;23;2059;22.9;0;1;1;0;0;0;5;0;1.4;1.4;2.9;4.3;78;106;97;0.00;0.04;0.04;0.00;0.04;0.06;0.13;0.19;0.06;0.19
35;Nayef Aguerd;DF;27-044;1996;16;15;1415;15.7;2;0;2;2;0;0;4;0;2.2;2.2;0.4;2.6;2;24;4;0.13;0.00;0.13;0.13;0.13;0.14;0.03;0.17;0.14;0.17
36;Ruben Aguilar;DF;30-017;1993;18;12;1003;11.1;0;0;0;0;0;0;2;0;0.2;0.2;0.9;1.1;21;86;64;0.00;0.00;0.00;0.00;0.00;0.02;0.08;0.10;0.02;0.10
37;Naouirou Ahamada;MFFW;21-045;2002;7;0;93;1.0;0;0;0;0;0;0;1;0;0.2;0.2;0.1;0.2;1;2;11;0.00;0.00;0.00;0.00;0.00;0.15;0.07;0.22;0.15;0.22
38;Naouirou Ahamada;MF;21-045;2002;17;17;1398;15.5;2;2;4;2;0;0;4;1;0.8;0.8;1.2;2.1;43;56;54;0.13;0.13;0.26;0.13;0.26;0.05;0.08;0.13;0.05;0.13
39;Amar Ahmed;FW;19-083;2004;1;0;20;0.2;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;2;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
40;Jean-Eudes Aholou;MF;29-054;1994;28;16;1287;14.3;3;1;4;3;0;0;4;1;1.1;1.1;0.9;2.1;25;48;37;0.21;0.07;0.28;0.21;0.28;0.08;0.07;0.14;0.08;0.14
41;Joseph Aidoo;DF;27-226;1995;32;32;2849;31.7;3;0;3;3;0;0;6;1;1.0;1.0;0.1;1.0;15;85;2;0.09;0.00;0.09;0.09;0.09;0.03;0.00;0.03;0.03;0.03
42;Ola Aina;DF;26-217;1996;16;9;807;9.0;1;1;2;1;0;0;5;0;0.7;0.7;2.0;2.8;33;39;41;0.11;0.11;0.22;0.11;0.22;0.08;0.23;0.31;0.08;0.31
43;Rayan Aït Nouri;DF;21-341;2001;20;9;1031;11.5;1;0;1;1;0;0;4;0;0.7;0.7;1.0;1.7;30;43;76;0.09;0.00;0.09;0.09;0.09;0.06;0.09;0.15;0.06;0.15
44;Emanuel Aiwum;DF;22-139;2000;22;16;1563;17.4;0;0;0;0;0;0;3;0;0.2;0.2;0.4;0.6;19;43;7;0.00;0.00;0.00;0.00;0.00;0.01;0.03;0.03;0.01;0.03
45;Kristoffer Ajer;DF;25-026;1998;9;9;763;8.5;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.1;10;31;12;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.00;0.01
46;Ludovic Ajorque;FW;29-077;1994;13;9;771;8.6;1;0;1;0;1;1;1;0;3.4;2.6;0.9;3.5;2;13;55;0.12;0.00;0.12;0.00;0.00;0.39;0.10;0.50;0.30;0.40
47;Ludovic Ajorque;FWMF;29-077;1994;15;14;1112;12.4;6;1;7;6;0;0;4;0;4.4;4.4;1.7;6.1;4;28;81;0.49;0.08;0.57;0.49;0.57;0.36;0.14;0.50;0.36;0.50
48;Manuel Akanji;DF;27-298;1995;27;22;2141;23.8;0;1;1;0;0;0;2;0;1.3;1.3;0.4;1.7;23;103;12;0.00;0.04;0.04;0.00;0.04;0.05;0.02;0.07;0.05;0.07
49;Nathan Aké;DF;28-084;1995;25;21;1811;20.1;1;0;1;1;0;0;2;0;1.6;1.6;0.6;2.2;25;139;30;0.05;0.00;0.05;0.05;0.05;0.08;0.03;0.11;0.08;0.11
50;Sergio Akieme;DF;25-148;1997;26;26;2189;24.3;1;0;1;1;0;0;5;0;1.5;1.5;2.0;3.5;58;58;83;0.04;0.00;0.04;0.04;0.04;0.06;0.08;0.14;0.06;0.14
51;Maghnes Akliouche;MFFW;21-077;2002;8;4;308;3.4;0;0;0;0;0;0;3;0;0.2;0.2;0.3;0.5;6;13;26;0.00;0.00;0.00;0.00;0.00;0.05;0.08;0.14;0.05;0.14
52;Paul Akouokou;MFDF;25-144;1997;10;3;420;4.7;0;0;0;0;0;0;2;0;0.2;0.2;0.0;0.2;0;8;1;0.00;0.00;0.00;0.00;0.00;0.03;0.00;0.03;0.03;0.03
53;Jean-Daniel Akpa-Akpro;MF;30-214;1992;20;13;1097;12.2;1;0;1;1;0;0;8;2;0.7;0.7;0.7;1.4;16;33;32;0.08;0.00;0.08;0.08;0.08;0.06;0.05;0.11;0.06;0.11
54;Kevin Akpoguma;DF;28-024;1995;26;19;1791;19.9;0;0;0;0;0;0;10;0;0.6;0.6;0.5;1.2;16;79;23;0.00;0.00;0.00;0.00;0.00;0.03;0.03;0.06;0.03;0.06
55;David Alaba;DF;30-323;1992;21;19;1658;18.4;1;3;4;1;0;0;3;0;0.8;0.8;1.1;1.8;15;63;60;0.05;0.16;0.22;0.05;0.22;0.04;0.06;0.10;0.04;0.10
56;Ángel Alarcón;MFFW;18-363;2004;4;0;25;0.3;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;0;2;0.00;0.00;0.00;0.00;0.00;0.15;0.00;0.15;0.15;0.15
57;Tomás Alarcón;MF;24-114;1999;4;2;223;2.5;0;0;0;0;0;0;2;1;0.0;0.0;0.1;0.1;2;9;6;0.00;0.00;0.00;0.00;0.00;0.01;0.03;0.04;0.01;0.04
58;Lucas Alario;FWMF;30-217;1992;20;2;331;3.7;1;0;1;1;0;0;0;0;1.4;1.4;0.0;1.5;2;8;17;0.27;0.00;0.27;0.27;0.27;0.39;0.01;0.40;0.39;0.40
59;Jordi Alba;DF;34-053;1989;21;12;1221;13.6;2;3;5;2;0;0;5;1;0.7;0.7;5.8;6.5;37;123;131;0.15;0.22;0.37;0.15;0.37;0.05;0.43;0.48;0.05;0.48
60;Luis Alberto;MF;30-227;1992;32;24;2173;24.1;5;6;11;4;1;2;3;0;4.2;2.5;5.7;8.2;66;213;82;0.21;0.25;0.46;0.17;0.41;0.17;0.24;0.41;0.10;0.34
61;Raúl Albiol;DF;37-251;1985;25;24;2119;23.5;0;0;0;0;0;0;6;0;0.1;0.1;0.0;0.1;12;100;3;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.01;0.00;0.01
62;Marc Albrighton;FWMF;33-176;1989;6;1;237;2.6;1;0;1;1;0;0;0;0;0.3;0.3;0.9;1.3;4;7;18;0.38;0.00;0.38;0.38;0.38;0.13;0.34;0.48;0.13;0.48
63;Thiago Alcántara;MF;32-032;1991;18;14;1254;13.9;0;0;0;0;0;0;2;0;0.4;0.4;1.1;1.5;13;120;24;0.00;0.00;0.00;0.00;0.00;0.03;0.08;0.11;0.03;0.11
64;Carlos Alcaraz;MFFW;20-164;2002;15;10;797;8.9;4;1;5;4;0;0;2;0;1.6;1.6;0.5;2.1;13;22;28;0.45;0.11;0.56;0.45;0.56;0.18;0.06;0.24;0.18;0.24
65;Rubén Alcaraz;MF;32-012;1991;28;20;1848;20.5;3;0;3;1;2;2;9;1;3.0;1.4;1.2;2.6;23;91;19;0.15;0.00;0.15;0.05;0.05;0.15;0.06;0.21;0.07;0.13
66;Omar Alderete;DF;26-138;1996;20;18;1610;17.9;0;1;1;0;0;0;8;0;0.5;0.5;0.8;1.3;21;75;8;0.00;0.06;0.06;0.00;0.06;0.03;0.04;0.07;0.03;0.07
67;Iván Alejo;MFFW;28-092;1995;28;12;1174;13.0;0;1;1;0;0;0;12;1;1.0;1.0;2.4;3.4;47;14;98;0.00;0.08;0.08;0.00;0.08;0.07;0.19;0.26;0.07;0.26
