player,market_value_in_eur,model_prediction
Isaac Price,400000,276168
Pablo Ibáñez,1000000,967757
Diogo Jota,55000000,37442040
Keane Lewis-Potter,15000000,12728115
Sam Lammers,2400000,5139803
Joe Gelhardt,8000000,5472699
Lucas Paquetá,45000000,24841043
Omar Marmoush,6000000,4101178
Martin Braithwaite,6000000,6435413
Geoffrey Kondogbia,18000000,11515942
Paulinho,900000,899010
Moi Gómez,10000000,8628671
Adam Ounas,8000000,6869204
Daichi Kamada,30000000,26111486
Valentin Atangana Edoa,150000,777535
Romain Faivre,8000000,9474424
Jonas Martin,1800000,15738
Ismaël Bennacer,40000000,33918802
Emil Bohinen,4000000,2737839
Ousmane Dembélé,60000000,89553098
Kevin Paredes,5000000,5840808
Sofiane Diop,18000000,17301086
Kaoru Mitoma,22000000,16028314
Santiago Ascacíbar,6500000,14518122
Breel Embolo,22000000,15705672
Christian Eriksen,25000000,39590795
Ross Barkley,9000000,10186274
Mahmoud Dahoud,12000000,9432530
Dani Olmo,40000000,31782103
Rodrigo Bentancur,40000000,28962133
Cristian Buonaiuto,800000,423649
Nemanja Matić,4000000,7971324
Linton Maina,4500000,6684327
Reinier,3000000,19264292
Ángel Di María,10000000,26427700
Felix Nmecha,8000000,6333953
Boulaye Dia,14000000,9673565
Mario Lemina,10000000,7337154
Connor Ronan,800000,806409
Ritsu Doan,15000000,13375101
Taïryk Arconte,400000,786587
Emmanuel Dennis,10000000,11360228
Gaëtan Laborde,14000000,6034235
Takefusa Kubo,15000000,28849625
Romain Faivre,8000000,11044899
Jean-Eudes Aholou,3000000,6014441
Marc Albrighton,2000000,2005924
Rafa Mir,10000000,11127215
Mohamed Achi,400000,910359
Gerrit Holtmann,3500000,2287767
James McArthur,700000,600251
Joshua Kimmich,80000000,50154705
Christopher Nkunku,80000000,62534052
Mathias Jensen,14000000,9695166
Pierre Kunde,2000000,5321522
Dominick Drexler,900000,1175294
Carney Chukwuemeka,15000000,13573342
Neeskens Kebano,3000000,2030285
Mohamed Camara,28000000,16349142
Denis Genreau,1200000,1726469
Edu Expósito,6000000,4132285
Danny Ings,16000000,7783548
Angelo Fulgini,9000000,6274040
Jonathan Bamba,20000000,21728685
Nordine Kandil,400000,666427
Yanis Massolin,100000,666427
Josh Onomah,2500000,3417950
Joris Chotard,9000000,8465844
Youba Diarra,1000000,515767
Jean Lucas,7000000,3203503
Giacomo Raspadori,35000000,24945526
Julián Álvarez,50000000,33757651
Irvin Cardona,2500000,3615242
Gorka Guruzeta,2000000,2036308
Jacob Ramsey,32000000,37881465
Sergio Arribas,3500000,3526615
Fabio Quagliarella,1000000,3136934
Tolgay Arslan,2000000,2109616
Alberto Perea,1000000,-1575598
Janik Haberer,7000000,6777540
Mehdi Bourabia,1300000,3892934
Bamba Dieng,8000000,7994384
Arne Maier,5500000,15950471
Salvatore Esposito,3500000,3377657
Boubacar Kamara,25000000,28197568
José Carlos Lazo,2500000,2146344
Florian Niederlechner,2200000,4673477
Diego Demme,4000000,5425814
Brandon Baiye,500000,799441
Maximilian Arnold,17000000,11354675
Marko Pjaca,2200000,6565765
José Mari,400000,-1025264
Rani Khedira,8000000,7017998
Nils Petersen,1500000,1183381
Francesco Caputo,1500000,727304
Johann Lepenant,10000000,9308796
M'Bala Nzola,6500000,5703732
Matt Ritchie,1800000,1589673
Gianluca Caprari,9000000,7643957
Pedri,100000000,77116889
