,highest_market_value_in_eur,Age,npxG+xAG,PrgC,xAG,Ast,G+A,90s,Min,PrgP,Starts,MP,PrgR,Rk,Pos_MF,market_value_in_eur
0,0.16643512086690748,0.20833333333333337,0.35111111111111115,0.2621951219512195,0.2876712328767123,0.2727272727272727,0.15384615384615385,0.7398843930635839,0.7410025706940873,0.28668941979522183,0.7999999999999999,0.9411764705882353,0.3037190082644628,0.0,0.0,30000000.0
1,0.00972492358988608,0.25,0.15555555555555556,0.31097560975609756,0.15753424657534246,0.09090909090909091,0.038461538461538464,0.5722543352601156,0.5726221079691516,0.4300341296928328,0.5714285714285714,0.7352941176470588,0.1962809917355372,0.001755926251097454,0.0,1200000.0
2,0.071964434565157,0.25,0.11111111111111112,0.17682926829268295,0.10273972602739725,0.09090909090909091,0.07692307692307693,0.8439306358381502,0.8428663239074549,0.4982935153583618,0.8571428571428571,0.8529411764705882,0.08057851239669422,0.0021949078138718174,1.0,13000000.0
3,0.01639344262295082,0.5416666666666667,0.07111111111111111,0.06097560975609756,0.0821917808219178,0.09090909090909091,0.038461538461538464,0.638728323699422,0.6388174807197943,0.36860068259385664,0.6857142857142857,0.7058823529411764,0.022727272727272728,0.002633889376646181,1.0,3000000.0
4,0.04140038899694359,0.375,0.022222222222222223,0.006097560975609756,0.0273972602739726,0.0,0.0,0.15028901734104047,0.14974293059125965,0.03754266211604096,0.14285714285714285,0.23529411764705882,0.014462809917355372,0.0030728709394205445,1.0,5000000.0
5,0.02195054181717144,0.125,0.09777777777777778,0.07317073170731708,0.04794520547945205,0.09090909090909091,0.11538461538461539,0.23988439306358383,0.24068123393316196,0.027303754266211604,0.22857142857142856,0.4411764705882353,0.08677685950413223,0.0035118525021949083,0.0,4000000.0
6,0.02195054181717144,0.125,0.044444444444444446,0.024390243902439025,0.02054794520547945,0.0,0.038461538461538464,0.03468208092485549,0.03406169665809768,0.006825938566552901,0.0,0.29411764705882354,0.022727272727272728,0.003950834064969272,0.0,4000000.0
7,0.03862183939983329,0.25,0.5866666666666667,0.5670731707317074,0.21232876712328766,0.4545454545454546,0.5,0.7456647398843931,0.7467866323907454,0.21843003412969283,0.7714285714285714,0.9705882352941176,0.5289256198347108,0.004828797190517998,0.0,7000000.0
8,0.2775771047513198,0.33333333333333326,0.6044444444444445,0.21341463414634146,0.22602739726027396,0.2727272727272727,0.42307692307692313,0.6734104046242775,0.6744858611825192,0.17406143344709898,0.6857142857142857,0.9705882352941176,0.2706611570247934,0.0052677787532923615,0.0,45000000.0
9,0.0005557099194220616,0.125,0.0,0.0,0.0,0.0,0.0,0.005780346820809249,0.004498714652956298,0.0,0.0,0.0,0.0,0.005706760316066726,1.0,150000.0
