,id,injured,market_value_in_eur,statistics.id,statistics.game_infos.id,statistics.game_infos.appearences,statistics.game_infos.lineups,statistics.game_infos.minutes,statistics.game_infos.rating,statistics.game_infos.captain,statistics.duels.id,statistics.duels.total,statistics.duels.won,statistics.fouls.id,statistics.fouls.drawn,statistics.fouls.committed,statistics.cards.id,statistics.cards.yellow,statistics.cards.yellowred,statistics.cards.red,statistics.dribbles.id,statistics.dribbles.attempts,statistics.dribbles.success,statistics.goals.id,statistics.goals.total,statistics.goals.conceded,statistics.goals.assists,statistics.goals.saves,statistics.passes.id,statistics.passes.total,statistics.passes.key,statistics.passes.accuracy,statistics.penalties.id,statistics.penalties.won,statistics.penalties.committed,statistics.penalties.scored,statistics.penalties.missed,statistics.penalties.saved,statistics.shots.id,statistics.shots.total,statistics.shots.on,statistics.substitutes.id,statistics.substitutes.in,statistics.substitutes.out,statistics.substitutes.bench,statistics.tackles.id,statistics.tackles.total,statistics.tackles.blocks,statistics.teams.id
10,14.0,False,18000000.0,2218.0,2224.0,9.0,4.0,336.0,6.944,False,2227.0,29.0,17.0,2227.0,2.0,3.0,2230.0,1.0,0.0,0.0,2229.0,5.0,3.0,2220.0,0.0,0.0,0.0,0.0,2220.0,254.0,4.0,23.0,2220.0,0.0,0.0,0.0,0.0,0.0,2220.0,5.0,1.0,2219.0,5.0,3.0,11.0,2220.0,11.0,2.0,2303.0
11,16.0,False,10000000.0,2478.0,2484.0,32.0,32.0,2749.0,6.906,False,2487.0,272.0,111.0,2487.0,43.0,24.0,2490.0,6.0,0.0,0.0,2489.0,69.0,25.0,2480.0,3.0,0.0,1.0,0.0,2480.0,1357.0,42.0,34.0,2480.0,0.0,0.0,0.0,0.0,0.0,2480.0,18.0,9.0,2479.0,0.0,10.0,0.0,2480.0,41.0,0.0,2563.0
13,19.0,False,15000000.0,2438.0,2444.0,23.0,21.0,1897.0,6.887,False,2447.0,152.0,98.0,2447.0,29.0,21.0,2450.0,6.0,0.0,0.0,2449.0,10.0,8.0,2440.0,1.0,0.0,0.0,0.0,2440.0,1191.0,6.0,46.0,2440.0,0.0,0.0,1.0,0.0,0.0,2440.0,6.0,1.0,2439.0,2.0,4.0,3.0,2440.0,43.0,2.0,2523.0
14,20.0,False,4000000.0,3441.0,3447.0,33.0,25.0,2255.0,6.744,False,3450.0,168.0,97.0,3450.0,15.0,20.0,3453.0,2.0,0.0,1.0,3452.0,6.0,5.0,3443.0,0.0,0.0,0.0,0.0,3443.0,1324.0,4.0,37.0,3443.0,0.0,0.0,0.0,0.0,0.0,3443.0,5.0,0.0,3442.0,8.0,3.0,12.0,3443.0,36.0,11.0,3526.0
17,23.0,False,9000000.0,1268.0,1274.0,12.0,2.0,340.0,6.682,False,1277.0,34.0,14.0,1277.0,2.0,1.0,1280.0,0.0,0.0,0.0,1279.0,3.0,0.0,1270.0,0.0,0.0,1.0,0.0,1270.0,287.0,5.0,21.0,1270.0,0.0,0.0,0.0,0.0,0.0,1270.0,6.0,0.0,1269.0,10.0,1.0,30.0,1270.0,9.0,3.0,1353.0
19,25.0,False,11000000.0,2518.0,2524.0,25.0,14.0,1351.0,6.86,False,2527.0,153.0,68.0,2527.0,18.0,18.0,2530.0,4.0,0.0,0.0,2529.0,21.0,8.0,2520.0,6.0,0.0,4.0,0.0,2520.0,544.0,20.0,17.0,2520.0,0.0,0.0,1.0,0.0,0.0,2520.0,23.0,11.0,2519.0,11.0,9.0,11.0,2520.0,30.0,4.0,2603.0
20,26.0,False,6500000.0,2519.0,2525.0,25.0,17.0,1568.0,6.92,False,2528.0,151.0,87.0,2528.0,22.0,12.0,2531.0,2.0,0.0,0.0,2530.0,56.0,34.0,2521.0,1.0,0.0,1.0,0.0,2521.0,851.0,23.0,27.0,2521.0,0.0,0.0,0.0,0.0,0.0,2521.0,16.0,6.0,2520.0,8.0,6.0,10.0,2521.0,25.0,10.0,2604.0
24,44.0,False,80000000.0,1269.0,1275.0,36.0,34.0,2920.0,7.314,False,1278.0,314.0,184.0,1278.0,20.0,47.0,1281.0,5.0,0.0,0.0,1280.0,33.0,25.0,1271.0,2.0,0.0,6.0,0.0,1271.0,2976.0,33.0,75.0,1271.0,0.0,0.0,0.0,0.0,0.0,1271.0,33.0,14.0,1270.0,2.0,11.0,3.0,1271.0,67.0,14.0,1354.0
25,45.0,False,40000000.0,3442.0,3448.0,27.0,17.0,1259.0,6.848,False,3451.0,137.0,72.0,3451.0,17.0,7.0,3454.0,1.0,0.0,0.0,3453.0,35.0,20.0,3444.0,1.0,0.0,3.0,0.0,3444.0,758.0,27.0,24.0,3444.0,0.0,0.0,0.0,0.0,0.0,3444.0,10.0,6.0,3443.0,10.0,17.0,12.0,3444.0,30.0,3.0,3527.0
26,49.0,False,38000000.0,1287.0,1293.0,33.0,28.0,2485.0,7.106,False,1296.0,278.0,163.0,1296.0,23.0,37.0,1299.0,5.0,0.0,0.0,1298.0,42.0,34.0,1289.0,3.0,0.0,0.0,0.0,1289.0,1946.0,26.0,51.0,1289.0,0.0,0.0,0.0,0.0,0.0,1289.0,18.0,4.0,1288.0,5.0,7.0,5.0,1289.0,69.0,5.0,1372.0
